Time     Altitude  Dwnrg Dst    Stage     Mass           TWR      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
99.1       33.4723     0      1    952572.2656    3.7456    120.7645    0    38.0126    0       1434.0608      35.0483    0.9747
99.64       33.8457     0      1    948075.6836    3.7633    120.7691    0    37.8488    0       1444.5788      35.09    0.9743
100.18       34.2211     0      1    943607.8491    3.7812    120.7737    0    37.686    0       1455.1217      35.1313    0.9739
100.72       34.5985     0      1    939167.8467    3.799    120.7783    0    37.5245    0       1465.6155      35.172    0.9735
101.26       34.9779     0      1    934769.165    3.8169    120.7828    0    37.3639    0       1476.195      35.2124    0.9731
101.8       35.3593     0      1    930365.8447    3.835    120.7873    0    37.2045    0       1486.8331      35.2526    0.9726
102.34       35.7426     0      1    925979.5532    3.8531    120.7918    0    37.0461    0       1497.4547      35.2922    0.9722
102.88       36.1279     0      1    921627.9297    3.8713    120.7963    0    36.8888    0       1508.0493      35.3312    0.9718
103.42       36.5152     0      1    917312.561    3.8895    120.8007    0    36.7327    0       1518.6752      35.3699    0.9714
103.96       36.9043     0      1    913015.3809    3.9078    120.8051    0    36.5779    0       1529.2897      35.4081    0.9709
104.5       37.2954     0      1    908754.2114    3.9262    120.8095    0    36.424    0       1539.8958      35.4458    0.9705
105.04       37.6883     0      1    904521.3623    3.9445    120.8139    0    36.2709    0       1550.5153      35.4831    0.97
105.58       38.0832     0      1    900311.4624    3.963    120.8183    0    36.1186    0       1561.1647      35.52    0.9696
106.12       38.4798     0      1    896119.4458    3.9815    120.8226    0    35.9672    0       1571.7689      35.5564    0.9691
106.66       38.8783     0      1    891980.896    4    120.8269    0    35.817    0       1582.2145      35.5919    0.9687
107.2       39.2785     0      1    887919.2505    4.0183    120.8313    0    35.6679    0       1592.6263      35.6269    0.9682
107.74       39.6805     0      1    883890.9302    4.0366    120.8356    0    35.5196    0       1603.0391      35.6615    0.9678
108.28       40.0841     0      1    879895.9961    4.0549    120.8399    0    35.3718    0       1613.3477      35.6955    0.9673
108.82       40.4894     0      1    875964.0503    4.0731    120.8442    0    35.2241    0       1623.5909      35.7289    0.9669
109.36       40.8963     0      1    872068.1763    4.0913    120.8485    0    35.0767    0       1633.9415      35.7623    0.9664
109.9       41.3049     0      1    868158.8135    4.1098    120.8528    0    34.9298    0       1644.388      35.7955    0.9659
110.44       41.7151     0      1    864250.3662    4.1283    120.8571    0    34.7834    0       1654.8418      35.8284    0.9654
110.98       42.1269     0      1    860360.2905    4.147    120.8613    0    34.6376    0       1665.357      35.861    0.9649
111.52       42.5403     0      1    856472.0459    4.1658    120.8655    0    34.4931    0       1675.9191      35.8934    0.9645
112.06       42.9554     0      1    852597.29    4.1848    120.8698    0    34.35    0       1686.3913      35.9252    0.964
112.6       43.372     0      1    848790.8325    4.2035    120.874    0    34.2084    0       1696.5834      35.9558    0.9635
113.14       43.7901     0      1    845100.4639    4.2219    120.8782    0    34.0684    0       1706.5183      35.9855    0.963
113.68       44.2095     0      1    841519.7144    4.2399    120.8825    0    33.9292    0       1716.1523      36.0142    0.9625
114.22       44.6302     0      1    838066.2842    4.2573    120.8869    0    33.7902    0       1725.3757      36.0416    0.9621
114.76       45.0519     0      1    834776.7944    4.2741    120.8913    0    33.651    0       1734.0953      36.0675    0.9616
115.3       45.4745     0      1    831674.0112    4.2901    120.8958    0    33.5113    0       1742.2518      36.0919    0.9612
115.84       45.8977     0      1    828781.6162    4.305    120.9003    0    33.3714    0       1749.748      36.1145    0.9608
116.38       46.3214     0      1    826125.061    4.3189    120.905    0    33.2309    0       1756.5452      36.1353    0.9605
116.92       46.7453     0      1    823713.1958    4.3315    120.9098    0    33.0893    0       1762.6069      36.1543    0.9601
117.46       47.1691     0      1    821559.082    4.3429    120.9147    0    32.9462    0       1767.9808      36.1716    0.9598
118       47.5926     0      1    819624.3896    4.3531    120.9196    0    32.801    0       1772.965      36.1881    0.9595
118.54       48.0156     0      1    817817.2607    4.3627    120.9248    0    32.6509    0       1777.712      36.2043    0.9592
119.08       48.4381     0      1    816101.7456    4.3719    120.9303    0    32.4966    0       1782.2288      36.2199    0.9589
119.62       48.86     0      1    814469.6045    4.3807    120.9359    0    32.34    0       1786.5649      36.235    0.9586
120.16       49.2811     0      1    812903.0151    4.3891    120.9414    0    32.1821    0       1790.7064      36.2495    0.9583
120.7       49.7014     0      1    811413.8794    4.3972    120.9467    0    32.0234    0       1794.5578      36.2632    0.9581
121.24       50.1208     0      1    810024.6582    4.4047    120.9519    0    31.8655    0       1798.1291      36.2762    0.9578
121.78       50.5392     0      1    808733.0933    4.4117    120.9572    0    31.7087    0       1801.4385      36.2885    0.9576
122.32       50.9565     0      1    807531.25    4.4183    120.9628    0    31.5514    0       1804.5452      36.3005    0.9573
122.86       51.3726     0      1    806397.8271    4.4245    120.9684    0    31.3922    0       1807.4859      36.3121    0.9571
123.4       51.7875     0      1    805326.1108    4.4304    120.974    0    31.2311    0       1810.2359      36.3231    0.9569
123.94       52.2011     0      1    804321.106    4.4359    120.9794    0    31.0707    0       1812.8544      36.3337    0.9567
124.48       52.6134     0      1    803358.5205    4.4413    120.9849    0    30.9093    0       1815.4403      36.3444    0.9565
125.02       53.0243     0      1    802413.5742    4.4465    120.9905    0    30.7457    0       1818.0171      36.3549    0.9562
125.56       53.4338     0      1    801478.6377    4.4517    120.9959    0    30.5805    0       1820.5808      36.3654    0.956
126.1       53.8418     0      1    800550.1709    4.4568    121.0013    0    30.4147    0       1823.1564      36.3758    0.9558
126.64       54.2484     0      1    799628.54    4.462    121.0066    0    30.249    0       1825.5938      36.3858    0.9556
127.18       54.6536     0      1    798759.8877    4.4668    121.0119    0    30.0862    0       1827.9271      36.3954    0.9554
127.72       55.0573     0      1    797921.814    4.4715    121.0173    0    29.9254    0       1830.2436      36.4051    0.9552
128.26       55.4595     0      1    797095.459    4.4762    121.0226    0    29.7621    0       1832.5579      36.4147    0.955
128.8       55.8602     0      1    796276.001    4.4808    121.028    0    29.5972    0       1834.8741      36.4242    0.9548
129.34       56.2594     0      1    795460.9985    4.4854    121.0333    0    29.4323    0       1837.1952      36.4337    0.9546
130.04       56.7745     0      1    794649.5972    4.4899    121.0386    0    29.2676    0       1840.2094      36.446    0.9543
130.76       57.3017     0      1    793541.748    4.4962    121.0455    0    29.0542    0       1843.441      36.4589    0.954
131.5       57.8406     0      1    792433.2275    4.5025    121.0527    0    28.8291    0       1846.6845      36.4718    0.9537
132.24       58.3767     0      1    791328.7964    4.5088    121.0599    0    28.6043    0       1849.9545      36.4846    0.9534
132.98       58.9098     0      1    790225.4028    4.5151    121.0671    0    28.3798    0       1853.1734      36.4971    0.9531
133.7       59.4258     0      2    746651    0.8906    121.0742    0    28.1556    0       1857.206      36.5114    0.9528
134.4       59.9251     0      2    632371.1716    1.0515    113.954    0    22.5907    0       1861.579      36.5257    0.9525
135.3       60.5639     0      2    632371.1716    1.0515    113.978    0    22.4604    0       1867.212      36.5443    0.952
136.2       61.1993     0      2    632371.1716    1.0515    114.0159    0    22.2641    0       1872.8969      36.5628    0.9516
137.12       61.8453     0      2    632371.1716    1.0515    114.0542    0    22.0636    0       1878.7542      36.5813    0.9512
138.02       62.4738     0      2    632371.1716    1.0515    114.0912    0    21.8693    0       1884.5113      36.5993    0.9507
138.92       63.099     0      2    632371.1716    1.0515    114.128    0    21.6768    0       1890.3262      36.6173    0.9503
139.82       63.7209     0      2    632371.1716    1.0515    114.1647    0    21.486    0       1896.1849      36.6351    0.9498
140.72       64.3394     0      2    632371.1716    1.0515    114.2011    0    21.2968    0       1902.0865      36.6528    0.9494
141.62       64.9547     0      2    632371.1716    1.0515    114.2373    0    21.1091    0       1908.0484      36.6703    0.9489
142.52       65.5667     0      2    632371.1716    1.0515    114.2733    0    20.9229    0       1914.0367      36.6878    0.9485
143.42       66.1754     0      2    632371.1716    1.0515    114.3091    0    20.7382    0       1920.0566      36.7051    0.948
