Time     Altitude  Dwnrg Dst    Stage     Mass           TWR     Throt      AZ(cmd)     HOR AOA      Pitch   Vert AOA       Orbvel		   Incl       Ecctr
93.74       29.8872     22.49      1    998587.5244    2.6033       100    120.7139    0    39.7383    0       1330.0179      34.6046    0.9785
94.28       30.24     22.92      1    993872.1313    2.6051       100    120.719    0    39.5611    0       1340.3144      34.6509    0.9781
94.82       30.5949     23.35      1    989168.457    2.6115       100    120.724    0    39.3855    0       1350.6713      34.6968    0.9778
95.36       30.9519     23.79      1    984479.248    2.6182       100    120.729    0    39.2116    0       1361.0829      34.7424    0.9774
95.9       31.3111     24.23      1    979793.8843    2.6261       100    120.7339    0    39.039    0       1371.6138      34.7879    0.977
96.44       31.6724     24.68      1    975103.6987    2.6354       100    120.7388    0    38.8679    0       1382.129      34.8327    0.9766
96.98       32.0359     25.13      1    970454.895    2.6399       100    120.7436    0    38.698    0       1392.6233      34.8769    0.9763
97.52       32.4014     25.59      1    965842.8345    2.6429       100    120.7484    0    38.5299    0       1403.1081      34.9205    0.9759
98.06       32.7691     26.05      1    961266.7847    2.6407       100    120.7531    0    38.3635    0       1413.6113      34.9637    0.9755
98.6       33.1388     26.52      1    956717.2241    2.6355       100    120.7578    0    38.1983    0       1424.0833      35.0062    0.9751
99.14       33.5105     26.99      1    952210.083    2.6306       100    120.7625    0    38.0336    0       1434.5798      35.0484    0.9747
99.68       33.8843     27.47      1    947721.0083    2.6276       100    120.7672    0    37.8699    0       1445.089      35.09    0.9743
100.22       34.2601     27.96      1    943262.3901    2.6238       100    120.7718    0    37.7073    0       1455.6058      35.1312    0.9739
100.76       34.6378     28.45      1    938825.1343    2.6233       100    120.7764    0    37.5459    0       1466.2119      35.1722    0.9735
101.3       35.0176     28.94      1    934388.7939    2.6265       100    120.7809    0    37.3857    0       1476.8112      35.2127    0.9731
101.84       35.3994     29.44      1    929990.7837    2.626       100    120.7854    0    37.2264    0       1487.362      35.2526    0.9726
102.38       35.7832     29.95      1    925632.9956    2.6266       100    120.7899    0    37.068    0       1497.9814      35.2922    0.9722
102.92       36.1689     30.46      1    921277.2217    2.6279       100    120.7944    0    36.9109    0       1508.6341      35.3314    0.9718
103.46       36.5565     30.98      1    916947.7539    2.6252       100    120.7989    0    36.7551    0       1519.2348      35.3699    0.9713
104       36.9461     31.5      1    912664.6118    2.6223       100    120.8033    0    36.6003    0       1529.7981      35.4079    0.9709
104.54       37.3375     32.03      1    908418.396    2.6196       100    120.8077    0    36.4465    0       1540.4271      35.4457    0.9705
105.08       37.7309     32.56      1    904174.8657    2.6173       100    120.8121    0    36.2936    0       1551.0952      35.4831    0.97
105.62       38.1261     33.1      1    899955.2002    2.6147       100    120.8165    0    36.1415    0       1561.7108      35.52    0.9696
106.16       38.5232     33.65      1    895777.6489    2.6135       100    120.8208    0    35.9902    0       1572.3027      35.5563    0.9691
106.7       38.9221     34.2      1    891641.7236    2.608       100    120.8252    0    35.8402    0       1582.7666      35.5918    0.9687
